headline,pub_date,web_url,snippet,lead_paragraph,source
最佳电影和电视节目将于9月份参加Netflix,2024-09-03T20:27:26+0000,https://www.nytimes.com/2024/09/03/arts/television/new-netflix-movies-shows-september.html,妮可·基德曼（Nicole Kidman）主演的一个闪亮的神秘之谜于本月初到来。后来，一个新的真实犯罪系列讲述了Lyle和Erik Menendez令人不安的故事。,Netflix每个月都会在其图书馆添加电影和电视节目。这是我们9月最有前途的新冠军的选秀权。（注意：流媒体服务偶尔会更改时间表，而无需通知。有关流媒体内容的更多建议，请在此处注册我们的观看新闻通讯。）,The New York Times
“摩尔门妻子的秘密生活”可以改变保守的宗教文化吗？,2024-09-07T13:00:02+0000,https://www.nytimes.com/2024/09/07/opinion/mormon-wives-reality-tv-show.html,一个看似泡沫的真人秀节目的核心更深了。,在新真人秀节目“摩尔门妻子的秘密生活”的第七集中，一个角色使一个与一个控制的丈夫挣扎的已婚妈妈的观察：“不过，这与我们的教会是一个主题问题是。每个人都在大脑发育之前就结婚了。”,The New York Times
特朗普在女性中落后，向他的女指控者猛烈抨击,2024-09-06T21:42:08+0000,https://www.nytimes.com/2024/09/06/us/politics/trump-news-conference-allegations.html,特朗普先生的新闻发布会与2024年总统竞选中的问题无关，似乎更像是对他对法律苦难的挫败感的发泄练习。,如果任何选民忘记了唐纳德·J·特朗普（Donald J. Trump）被多名妇女性行为不端指控，他花了大约45分钟的时间在选举日八周的星期五提醒他们。,The New York Times
我爱泰勒·斯威夫特。她的政治认可无关紧要。,2024-09-08T10:00:30+0000,https://www.nytimes.com/2024/09/08/opinion/taylor-swift-endorsement-election-harris.html,认为超级巨星可以摇摆选举是很诱人的。但是我们不应该希望名人能使我们免于赢得人们的辛勤工作。,惯例结束了。唐纳德·特朗普（Donald Trump）和卡马拉·哈里斯（Kamala Harris）迫在眉睫的第一次辩论。但是对于许多观察家来说，这个选举季节中备受期待的事件尚未发生，并且可能随时发生：泰勒·斯威夫特（Taylor Swift）的认可公告。,The New York Times
猪排和政治：蒂姆·沃尔兹（Tim Walz）在州博览会上获得明尼苏达州的归乡,2024-09-02T01:52:03+0000,https://www.nytimes.com/2024/09/01/us/politics/tim-walz-minnesota-state-fair.html,副总统提名人在竞选活动中得到了简短的喘息，访问了该场地，这有助于推动他进入在线明星。,对于明尼苏达州的州长蒂姆·沃尔兹（Tim Walz）来说，八月对政治的最高梯队令人眼花clim乱。自从被选为副总统卡马拉·哈里斯（Kamala Harris）的竞选伴侣以来，他一直是Glitzy私人筹款活动的特色嘉宾，飞往芝加哥的民主党民主党大会上了一个夜晚，在他的竞技场上挂着一夜的标题。每个单词。,The New York Times
电动汽车未来即将到来。慢一点。,2024-09-05T19:39:01+0000,https://www.nytimes.com/2024/09/05/climate/electric-vehicle-sales-projections.html,尽管大型汽车制造商正在推迟他们推出新的全电动型号的计划，但E.V.专家说，行业仍然是未来。,如今，使美国汽车的竞赛看起来更像是一个障碍。在过去的几个月中，几家汽车制造商宣布了重新推出新电动型号或扩展其一些脱碳目标的计划。,The New York Times
老鹰队的球员担心在巴西犯罪。他们考虑过费城吗？,2024-09-06T13:55:59+0000,https://www.nytimes.com/2024/09/06/world/americas/eagles-packers-nfl-game-brazil-crime.html,一些N.F.L.球员在周五在南美的第一场联盟第一场比赛之前将巴西危险。统计数据显示，他们的家乡正在致命。,“我不想去巴西。”,The New York Times
艺术表演和展览将在今年秋天看到,2024-09-06T09:00:51+0000,https://www.nytimes.com/2024/09/06/arts/design/art-shows-and-exhibitions-fall.html,这个充满活力的季节是斯科特·伯顿（Scott Burton），阿尔文·艾利（Alvin Ailey）和布鲁克林博物馆（Brooklyn Museum）的200岁生日。,今年秋天，舞蹈是Vogue的流行，为编舞家Alvin Ailey和Ralph Lemon举办了一对主要博物馆表演。墨西哥和日本的例子也在纽约和华盛顿特区出现，印刷品也有片刻。大堂艺术，从纽约市到俄亥俄州哥伦布，再到加利福尼亚。（除非另有说明，否则日期可能会发生变化；位置在曼哈顿。）,The New York Times
选举日之前不会被判刑,2024-09-06T21:11:10+0000,https://www.nytimes.com/2024/09/06/briefing/trump-new-york-sentence-bmi-alternative.html,另外，B.M.I.的替代方案表现出承诺。这是周五结束时的最新消息。,纽约法官负责唐纳德·特朗普（Donald Trump）对34名伪造商业记录的重罪罪名定罪，今天宣布，前总统的宣判将被推迟到选举日的11月26日。这一决定是特朗普的重大胜利，特朗普曾辩称，前一次宣判日期将不公平地影响选举。,The New York Times
在洛杉矶的帮助下，拉斯维加斯在新的艺术博物馆押注了一个赌注。,2024-09-04T18:04:36+0000,https://www.nytimes.com/2024/09/04/arts/design/las-vegas-art-museum.html,该市同意将土地捐赠给由赌场大亨埃莱恩·永利（Elaine Wynn）拥护的博物馆，该博物馆将与洛杉矶县艺术博物馆建立合作伙伴关系。,拉斯维加斯设有霓虹灯博物馆，暴民博物馆，朋克岩石博物馆和弹球名人堂等。但是，尽管多年来尝试了几次尝试，但目前，它是美国没有主要美术馆的最大城市。,The New York Times
现年66岁的史蒂夫·西尔伯曼（Steve Silberman）去世；作家加深对自闭症的理解,2024-09-05T16:03:50+0000,https://www.nytimes.com/2024/09/05/science/steve-silberman-dead.html,由奥利弗·萨克斯（Oliver Sacks）扮演的话，他写了一本关于这种情况的人道屡获殊荣的书。他还为《 Grateful Dead》和他的朋友David Crosby撰写了一张音乐。,史蒂夫·西尔伯曼（Steve Silberman）是一位科学记者史蒂夫·西尔伯曼（Steve Silberman），他的屡获殊荣的关于自闭症史的书有助于扩大公众对这种经常被忽视的状况的理解，并被诊断出患有疾病的人，于8月29日在他在旧金山的家中去世。他66岁。,The New York Times
小诺埃尔·帕门尔（Noel Parmentel Jr.,2024-09-04T15:57:15+0000,https://www.nytimes.com/2024/09/04/business/media/noel-parmentel-jr-dead.html,他是一个自称为“反动的个人主义者”，他指导了琼·迪迪恩（Joan Didion），并以著名的尼克松与二手车推销员进行了比较而闻名。,指导琼·迪迪恩（Joan Didion）的脾气暴躁的辩论主义者和政治背道者诺埃尔·帕门尔（Noel E. Parmentel Jr.）帮助说服诺曼·梅勒（Norman Mailer理查德·M·尼克松（Richard M. Nixon）提出了一个问题 - “您会从这个人那里购买二手车吗？”- 周六在康涅狄格州西黑文（West Haven）死亡。他98岁。,The New York Times
大学抗议活动在11月会很重要吗？,2024-09-03T22:59:45+0000,https://www.nytimes.com/2024/09/03/us/politics/college-protests-gaza-election.html,共和党人将校园与他们的聚会平台相关。但是强度可能衰弱了。,晚上好！大学生返回校园，随之而来的是进行新的校园抗议活动的潜力。涵盖了时代高等教育的艾伦·布莱尔（Alan Blinder）研究了一个大问题，该问题可能会塑造现在和选举日之间的几周。- 杰西·比德古德（Jess Bidgood）,The New York Times
丹·莫根斯特（Dan Morgenstern），爵士乐的编年史和朋友，死于94,2024-09-08T01:22:39+0000,https://www.nytimes.com/2024/09/07/arts/music/dan-morgenstern-dead.html,他写了很多关于音乐的文章，并在记录其历史方面发挥了重要作用，尤其是在他在爵士乐研究所工作的多年中。,丹·莫根斯特（Dan Morgenstern）是一位受人尊敬的爵士乐记者，老师和历史学家，也是他在周六在曼哈顿（Manhattan）死亡的最后一位爵士学者之一。他94岁。,The New York Times
纽约夜生活律师王的撤消,2024-09-01T07:00:35+0000,https://www.nytimes.com/2024/09/01/nyregion/sal-strazzullo-brooklyn-lawyer-theft.html,Sal Strazzullo的职业生涯是代表小名人和轨道上的名人。他自己的富裕是一个外墙。,布鲁克林律师Sal Strazzullo是纽约夜生活的合法国王，其客户名单扩展到了夜总会所有人，唱片骑师，异国情调的舞者和门垫。,The New York Times
保持哈林舞的精神活着,2024-09-03T15:01:02+0000,https://www.nytimes.com/interactive/2024/09/03/arts/dance/harlem-renaissance-dance-100-anniversary.html,结识三个正在庆祝和混音的女性黑色舞蹈。,结识三个正在庆祝和混音的女性黑色舞蹈。,The New York Times
最佳电影和电视节目将于9月来到迪士尼+，麦克斯，胡鲁等,2024-09-01T11:00:27+0000,https://www.nytimes.com/2024/09/01/arts/television/september-streaming-movies-tv-shows.html,“战斗之夜：一百万美元的抢劫”，“一个非常皇家的丑闻”，“行尸走肉”的衍生品和“一直以来的阿加莎”到来。,每个月，流媒体服务将电影和电视节目添加到其图书馆。这是我们9月最有前途的新冠军的选秀权。（注意：流媒体服务偶尔会更改时间表，而无需通知。有关流媒体内容的更多建议，请在此处注册我们的观看新闻通讯。）,The New York Times
伊朗在美国总统大选中成为最大的虚假信息威胁,2024-09-04T15:30:16+0000,https://www.nytimes.com/2024/09/04/business/media/iran-disinformation-us-presidential-race.html,伊朗凭借一连串的黑客和假网站，加强了其抹黑美国民主的努力，并可能对前总统唐纳德·特朗普（Donald Trump）竞争。,一个名为Savannah Time的网站将自己描述为“您在充满活力的萨凡纳市保守新闻和观点的信任来源”。另一个网站Niothinker希望成为“您的最有见地，进步新闻的目的地”。在线媒体韦斯特兰太阳似乎迎合底特律郊区的穆斯林。,The New York Times
美国公开,2024-09-07T10:11:31+0000,https://www.nytimes.com/2024/09/07/briefing/the-us-open-concludes.html,让我们考虑失去的运动迷的悲伤。,一位网球迷在今年的美国公开赛上说：“这就像沃尔玛的黑色星期五。”这种评论可能会使一个普通人很高兴他们选择了参加比赛。但是，我听说过巨大的人群，无休止的线条与会者持久采购纪念品帽子或蜂蜜，或者只是进入体育场建筑群，我希望我在那里。,The New York Times
舞蹈表演，节日以及今年秋天更多,2024-09-06T09:01:00+0000,https://www.nytimes.com/2024/09/06/arts/dance/performances-festivals-nyc.html,本赛季带来了凯尔·亚伯拉罕（Kyle Abraham）和海伦·皮克特（Helen Pickett）的新作品，以及城市芭蕾舞团的“coppélia”和比尔·T·琼斯（Bill T. Jones）的“静止/在这里”的复兴。,舞蹈界今年秋天充满了喜庆的心情：似乎每个人都有一个周年庆典的庆祝活动。所有对过去的关注都可以解释为什么该节目有时会倾向于保守，尤其是在芭蕾舞团，晚上讲故事仍然是严格的。但是这些故事变得更加雄心勃勃，声音告诉他们更加多样化。而且仍然有很多艺术家向相反的方向推动。剧院墙壁甚至无法遏制本季最令人兴奋的舞蹈，在公园，博物馆，历史建筑，农田中找到舞台。（除非另有说明，否则位置位于曼哈顿；日期可能会发生变化。）,The New York Times
北卡罗来纳州的杂志极端分子会厄运特朗普吗？,2024-09-04T21:14:21+0000,https://www.nytimes.com/2024/09/04/opinion/trump-north-carolina-election.html,在这个战场州，共和党的恐慌气息。,唐纳德·特朗普（Donald Trump）就在两周前就在北卡罗来纳州。在此之前的一个星期。周五他会回来的。再次。看来他无法获得我的状态。,The New York Times
北美自由贸易协定如何打破美国政治,2024-09-03T09:03:08+0000,https://www.nytimes.com/2024/09/03/magazine/nafta-tarriffs-economy-trump-kamala-harris.html,自1993年通过以来，该贸易协定在总统选举中发挥了出色的作用 - 现在，该协议通常在三个锈带中取决于它有助于挖空的三个锈带。,去年5月，威斯康星州密尔沃基的主要锁工厂的工厂经理马库斯·卡利（Marcus Carli）与联合汽车工人董事会当地469委员会举行了一次惊喜会议。工会的几名官员，代表工厂的工人，加入了卡里（Carli）和洛克（Master Lock）母公司的高管，并在一个很小的会议室里。卡利带来了保安。“他在这里为我的保护，”卡利告诉工会代表。当后卫坐下时，当地即将上任​​的总统尤兰达·内森（Yolanda Nathan）注意到了他的枪。她说：“那是我想的时候，哦，我们正在失业。”卡利立即确认了她最严重的恐惧。他宣布：“工厂的关闭。”“这让我屏息了，”内森说。“这使我们呼吸了。”,The New York Times
战后25个最有影响力的男士服装系列,2024-09-05T09:03:33+0000,https://www.nytimes.com/2024/09/05/t-magazine/most-influential-mens-wear-collections-postwar.html,一群专家 - 设计师，编辑和街头摄影师 - 辩论哪种衣服确实改变了男人的时尚。,在2022年，我们汇编了战后25个最有影响力的妇女服装收藏的清单。为了为男装做同样的事情，我们首先不得不组建一群著名的陪审员：出生于哥伦比亚的法国时装设计师Haider Ackermann；艾米丽·亚当斯（Emily Adams Bode Aujla）是Bode的美国创始人，该品牌以其复古风格的男士服装而闻名；T的男士风格导演大卫·法伯（David Farber）；总部位于纽约的设计师，创意顾问和T贡献者Carlos Nazario；以及位于纽约的加拿大摄影师和创意总监汤米·顿（Tommy Ton）。去年四月，在持续了将近三个小时的视频电话上，该小组辩论了50个收藏的优点，每个小组成员都为10个左右的案子提出了案例，以便提名他们提名。尽管有收藏夹（四名陪审员选择了至少一个Giorgio Armani和Comme desGarçons收藏），但在他的简约同伴Calvin Klein和Jil Sander上也有一些不满意（包括Helmut Lang）和一些艰难的对话。例如，该小组能否证明将Abercrombie＆Fitch（带有方格过去的购物中心零售商）与Junya Watanabe和Dries Van Noten的同一列表置于同一清单上？,The New York Times
JD Vance转变为天主教,2024-09-04T16:28:22+0000,https://www.nytimes.com/2024/09/04/opinion/jd-vance-catholic.html,读者讨论了他如何发现自己的信仰的文章。另外：哈马斯隧道；优先考虑托儿服务；巴黎和巴塞罗那的可及性。,致编辑：,The New York Times
被杀的人质和后果,2024-09-03T16:27:28+0000,https://www.nytimes.com/2024/09/03/opinion/israel-hostages-hamas.html,读者对拜登，内塔尼亚胡和人质的杀害做出了反应。另外：特朗普和i.v.f.;同性基督教联盟；喜悦的原因；迪士尼旅行；花哨的宿舍。,致编辑：,The New York Times
